id,sentence1,sentence2,classification,Text_Cleaned1,Text_Cleaned2,lemmatized_text1,lemmatized_text2,cosine_similarity_score,overlap_score,overlap2_score,cosine/length_ratio,jaccard_similarity_score,lemma_jaccard_score,overall_sim_score,overall_similarity_path_semantic,overall_similarity_wup_semantic,overall_similarity_combined_semantic,jaccard_distance_bigrams,cosine_similarity_bigrams,bigram_similarity,jaccard_distance_trigrams,cosine_similarity_trigrams,trigram_similarity,jaccard_distance_quadgrams,cosine_similarity_quadgrams,quadgram_similarity
train_id_3,A representative for Phoenix-based U-Haul declined to comment on the case before the judge 's opinion was released .,"Anthony Citrano , a representative for WhenU , declined to comment on the case .",0,"['A', 'representative', 'Phoenix-based', 'U-Haul', 'declined', 'comment', 'case', 'judge', ""'s"", 'opinion', 'released']","['Anthony', 'Citrano', 'representative', 'WhenU', 'declined', 'comment', 'case']","['representative', 'phoenix-based', 'u-haul', 'decline', 'comment', 'case', 'judge', ""'s"", 'opinion', 'release']","['anthony', 'citrano', 'representative', 'whenu', 'decline', 'comment', 'case']",0.4558423058385518,0.7922077922077922,0.7777777777777778,0.2900814673518057,0.2857142857142857,0.3076923076923077,0.463710209541353,0.43591649416220496,0.4115158054522392,0.4191816296110103,0.15384615384615385,0.2721655269759087,0.13333333333333333,0.08333333333333333,0.15811388300841897,0.07692307692307693,0.0,0.0,0.0
train_id_5,Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain .,Crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel .,0,"['Crews', 'worked', 'install', 'new', 'culvert', 'prepare', 'highway', 'motorists', 'could', 'use', 'eastbound', 'lanes', 'travel', 'storm', 'clouds', 'threatened', 'dump', 'rain']","['Crews', 'worked', 'install', 'new', 'culvert', 'repave', 'highway', 'motorists', 'could', 'use', 'eastbound', 'lanes', 'travel']","['crew', 'work', 'install', 'new', 'culvert', 'prepare', 'highway', 'motorist', 'could', 'use', 'eastbound', 'lanes', 'travel', 'storm', 'cloud', 'threaten', 'dump', 'rain']","['crew', 'work', 'install', 'new', 'culvert', 'repave', 'highway', 'motorist', 'could', 'use', 'eastbound', 'lanes', 'travel']",0.7844645405527363,0.7435897435897435,0.6129032258064516,0.5665577237325318,0.631578947368421,0.631578947368421,0.7043314934452131,0.8382851162892697,0.8082324647953082,0.8112380797321692,0.5263157894736842,0.7001400420140049,0.3448275862068966,0.42105263157894735,0.6030226891555273,0.2962962962962963,0.3157894736842105,0.48989794855663554,0.24
train_id_7,"It will cost about $ 20,000 per eight-week course of treatment , comparable to other injected cancer therapies , a spokeswoman said .","It will cost about $ 20,000 per average course of treatment -16 to 17 weeks .",0,"['It', 'cost', '20,000', 'per', 'eight-week', 'course', 'treatment', 'comparable', 'injected', 'cancer', 'therapies', 'spokeswoman', 'said']","['It', 'cost', '20,000', 'per', 'average', 'course', 'treatment', '-16', '17', 'weeks']","['cost', '20,000', 'per', 'eight-week', 'course', 'treatment', 'comparable', 'injected', 'cancer', 'therapy', 'spokeswoman', 'say']","['cost', '20,000', 'per', 'average', 'course', 'treatment', '-16', '17', 'week']",0.5262348115842176,0.8615384615384616,0.7391304347826086,0.40479600891093664,0.35294117647058826,0.3125,0.5141663985925392,0.44570130275144376,0.3766663239245428,0.4073284318047708,0.1875,0.31980107453341566,0.15789473684210525,0.0625,0.11952286093343936,0.058823529411764705,0.0,0.0,0.0
train_id_8,""" We see the First Amendment to protect religious liberty , not crush religious liberty , "" said Patrick Mahoney , director of the Christian Defense Coalition .",""" We put the call out , "" said the Rev. Patrick J. Mahoney , director of the Christian Defense Coalition .",0,"['``', 'We', 'see', 'First', 'Amendment', 'protect', 'religious', 'liberty', 'crush', 'religious', 'liberty', '``', 'said', 'Patrick', 'Mahoney', 'director', 'Christian', 'Defense', 'Coalition']","['``', 'We', 'put', 'call', '``', 'said', 'Rev', 'Patrick', 'J.', 'Mahoney', 'director', 'Christian', 'Defense', 'Coalition']","['``', 'see', 'first', 'amendment', 'protect', 'religious', 'liberty', 'crush', 'religious', 'liberty', '``', 'say', 'patrick', 'mahoney', 'director', 'christian', 'defense', 'coalition']","['``', 'put', 'call', '``', 'say', 'rev', 'patrick', 'j.', 'mahoney', 'director', 'christian', 'defense', 'coalition']",0.6,0.8120300751879699,0.696969696969697,0.4421052631578947,0.45,0.42105263157894735,0.5903508771929825,0.492262966192266,0.3649541253236074,0.4193066169614104,0.21739130434782608,0.33113308926626095,0.17857142857142858,0.125,0.22613350843332272,0.1111111111111111,0.08695652173913043,0.1632993161855452,0.08
train_id_11,A federal judge ruled that the monument violated the law and ordered it removed .,The federal courts have ruled that the monument violates the constitutional ban against state-established religion .,0,"['A', 'federal', 'judge', 'ruled', 'monument', 'violated', 'law', 'ordered', 'removed']","['The', 'federal', 'courts', 'ruled', 'monument', 'violates', 'constitutional', 'ban', 'state-established', 'religion']","['federal', 'judge', 'rule', 'monument', 'violate', 'law', 'order', 'remove']","['federal', 'court', 'rule', 'monument', 'violate', 'constitutional', 'ban', 'state-established', 'religion']",0.31622776601683794,0.9666666666666667,0.8421052631578947,0.28460498941515416,0.1875,0.3076923076923077,0.4812918685809405,0.4939242393898838,0.42495129671075704,0.46068026389105404,0.15384615384615385,0.26726124191242434,0.13333333333333333,0.08333333333333333,0.1543033499620919,0.07692307692307693,0.0,0.0,0.0
train_id_17,"The benchmark 10-year note US10YT = RR slipped 16 / 32 in price , sending its yield to 4.48 percent from 4.42 percent late on Thursday .",The yield on the 10-year Treasury note rose to 4.46 % from 4.42 % late Thursday .,0,"['The', 'benchmark', '10-year', 'note', 'US10YT', 'RR', 'slipped', '16', '32', 'price', 'sending', 'yield', '4.48', 'percent', '4.42', 'percent', 'late', 'Thursday']","['The', 'yield', '10-year', 'Treasury', 'note', 'rose', '4.46', '4.42', 'late', 'Thursday']","['benchmark', '10-year', 'note', 'us10yt', 'rr', 'slip', '16', '32', 'price', 'send', 'yield', '4.48', 'percent', '4.42', 'percent', 'late', 'thursday']","['yield', '10-year', 'treasury', 'note', 'rise', '4.46', '4.42', 'late', 'thursday']",0.4949747468305832,0.6888888888888889,0.75,0.27498597046143514,0.35,0.3157894736842105,0.45763208495691937,0.609740060691158,0.5699799124353795,0.5732285869255092,0.043478260869565216,0.08838834764831843,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
train_id_19,""" Tomorrow at the Mission Inn , I have the opportunity to congratulate the governor-elect of the great state of California .",""" I have the opportunity to congratulate the governor-elect of the great state of California , and I 'm looking forward to it . """,0,"['``', 'Tomorrow', 'Mission', 'Inn', 'I', 'opportunity', 'congratulate', 'governor-elect', 'great', 'state', 'California']","['``', 'I', 'opportunity', 'congratulate', 'governor-elect', 'great', 'state', 'California', 'I', ""'m"", 'looking', 'forward', '``']","['``', 'tomorrow', 'mission', 'inn', 'opportunity', 'congratulate', 'governor-elect', 'great', 'state', 'california']","['``', 'opportunity', 'congratulate', 'governor-elect', 'great', 'state', 'california', ""'m"", 'look', 'forward', '``']",0.7312724241271307,0.8881118881118881,0.6666666666666667,0.6187689742614183,0.5714285714285714,0.5384615384615384,0.6868480870851266,0.38525071051290377,0.3534512573962193,0.37023794285502537,0.35714285714285715,0.5270462766947299,0.2631578947368421,0.3076923076923077,0.4714045207910316,0.23529411764705882,0.25,0.40089186286863654,0.2
train_id_20,"A year earlier , it posted a profit of $ 102 million , or 13 cents a share .","That was more than double the $ 102 million , or 13 cents a share , for the year-earlier quarter .",0,"['A', 'year', 'earlier', 'posted', 'profit', '102', 'million', '13', 'cents', 'share']","['That', 'double', '102', 'million', '13', 'cents', 'share', 'year-earlier', 'quarter']","['year', 'earlier', 'post', 'profit', '102', 'million', '13', 'cent', 'share']","['double', '102', 'million', '13', 'cent', 'share', 'year-earlier', 'quarter']",0.5270462766947299,0.9444444444444444,0.736842105263158,0.47434164902525694,0.35714285714285715,0.4166666666666667,0.5741642739533459,0.5629667939770486,0.5608868553263502,0.5388305552087953,0.36363636363636365,0.5345224838248487,0.26666666666666666,0.3,0.4629100498862757,0.23076923076923078,0.2222222222222222,0.3651483716701107,0.18181818181818182
train_id_22,"Limbaugh 's lawyer , Roy Black , has accused the Palm Beach State Attorney 's Office of having political motives for investigating whether the conservative radio commentator bought painkillers illegally .","Limbaugh 's attorney , Roy Black , has accused the State Attorney 's Office of having political motives for its investigation .",0,"['Limbaugh', ""'s"", 'lawyer', 'Roy', 'Black', 'accused', 'Palm', 'Beach', 'State', 'Attorney', ""'s"", 'Office', 'political', 'motives', 'investigating', 'whether', 'conservative', 'radio', 'commentator', 'bought', 'painkillers', 'illegally']","['Limbaugh', ""'s"", 'attorney', 'Roy', 'Black', 'accused', 'State', 'Attorney', ""'s"", 'Office', 'political', 'motives', 'investigation']","['limbaugh', ""'s"", 'lawyer', 'roy', 'black', 'accuse', 'palm', 'beach', 'state', 'attorney', ""'s"", 'office', 'political', 'motif', 'investigate', 'whether', 'conservative', 'radio', 'commentator', 'buy', 'painkiller', 'illegally']","['limbaugh', ""'s"", 'attorney', 'roy', 'black', 'accuse', 'state', 'attorney', ""'s"", 'office', 'political', 'motif', 'investigation']",0.6851601597031488,0.6538461538461539,0.6857142857142857,0.40486736709731524,0.43478260869565216,0.45454545454545453,0.5599658260944005,0.6259215642404692,0.5820739637503466,0.597788074425637,0.32,0.5039526306789697,0.24242424242424243,0.19230769230769232,0.337099931231621,0.16129032258064516,0.11538461538461539,0.21764287503300347,0.10344827586206896
train_id_26,A report on the finding appears in Friday 's issue of the journal Science .,The results were announced at a NASA headquarters news conference Thursday and in today 's issue of the journal Science .,0,"['A', 'report', 'finding', 'appears', 'Friday', ""'s"", 'issue', 'journal', 'Science']","['The', 'results', 'announced', 'NASA', 'headquarters', 'news', 'conference', 'Thursday', 'today', ""'s"", 'issue', 'journal', 'Science']","['report', 'finding', 'appear', 'friday', ""'s"", 'issue', 'journal', 'science']","['result', 'announce', 'nasa', 'headquarters', 'news', 'conference', 'thursday', 'today', ""'s"", 'issue', 'journal', 'science']",0.36980013081681945,0.8632478632478633,0.8181818181818181,0.256015475180875,0.2222222222222222,0.25,0.43475750552002196,0.245917629766572,0.19160842647090906,0.22318695182876896,0.2,0.3418817293789138,0.16666666666666666,0.14285714285714285,0.25819888974716115,0.125,0.07692307692307693,0.14907119849998599,0.07142857142857142
